"","year","data.type","conf","gender","value"
"1","2020","participant","BCC","female",181
"2","2020","participant","BIOC","female",166
"3","2020","participant","ISMB","female",1046
"4","2020","participant","RECOM","female",1730
"5","2020","participant","BCC","male",261
"6","2020","participant","BIOC","male",224
"7","2020","participant","ISMB","male",1430
"8","2020","participant","RECOM","male",2183
"9","2020","participant","BCC","total",442
"10","2020","participant","BIOC","total",390
"11","2020","participant","ISMB","total",2476
"12","2020","participant","RECOM","total",3913
"13","2020","participant","BCC","female.frac",0.409502262443439
"14","2020","participant","BIOC","female.frac",0.425641025641026
"15","2020","participant","ISMB","female.frac",0.422455573505654
"16","2020","participant","RECOM","female.frac",0.442116023511372
"17","2020","participant","BCC","male.frac",0.590497737556561
"18","2020","participant","BIOC","male.frac",0.574358974358974
"19","2020","participant","ISMB","male.frac",0.577544426494346
"20","2020","participant","RECOM","male.frac",0.557883976488628
