"","conf","race.level1","data.type","year","Freq"
"1","BCC","Asian","participant","2020",108
"2","BIOC","Asian","participant","2020",137
"3","ISMB","Asian","participant","2020",773
"4","RECOM","Asian","participant","2020",1418
"5","BCC","GreaterAfrican","participant","2020",37
"6","BIOC","GreaterAfrican","participant","2020",20
"7","ISMB","GreaterAfrican","participant","2020",219
"8","RECOM","GreaterAfrican","participant","2020",305
"9","BCC","GreaterEuropean","participant","2020",297
"10","BIOC","GreaterEuropean","participant","2020",233
"11","ISMB","GreaterEuropean","participant","2020",1484
"12","RECOM","GreaterEuropean","participant","2020",2190
